couples,interactions
"Marcellus, Player Queen",0
"Guildenstern, Servant",0
"First Ambassador, King Fortinbras",0
"A Lord, Hamlet",0
"Lucianus, Osric",0
"Attendants, First Clown",0
"Captain, Lords",0
"Ambassadors from Norway, Captain",0
"Captain, Player King",0
"Bernardo, Prince Fortinbras",0
"Ambassadors from Norway, Marcellus",0
"Marcellus, Rosencrantz",0
"Bernardo, Queen Gertrude",0
"Attendants, Lucianus",0
"First Clown, Marcellus",0
"Bernardo, Lords",0
"Player King, Voltimand",0
"Attendants, Ghost",0
"First Player, Lucianus",0
"First Ambassador, King Claudius",0
"Ambassadors from Norway, Players",0
"First Player, Ghost",0
"First Sailor, Horatio",0
"First Clown, Players",0
"Francisco, Hamlet",0
"Ghost, Ophelia",0
"Laertes, Marcellus",0
"Attendants, Laertes",0
"Player Queen, Servant",0
"Guildenstern, Prince Fortinbras",0
"Fortinbras, Voltimand",0
"Laertes, Servant",0
"Players, Rosencrantz",0
"Osric, Player Queen",0
"Guildenstern, Lords",0
"First Sailor, Player Queen",0
"First Ambassador, First Player",0
"Priest, Second Clown",0
"Laertes, Players",0
"Guildenstern, Player King",0
"Horatio, Player Queen",0
"Captain, Cornelius",0
"Ambassadors from Norway, Prince Fortinbras",0
"Ambassadors from Norway, Queen Gertrude",0
"Messenger, Queen Gertrude",0
"Lords, Polonius",0
"Attendants, Horatio",0
"First Clown, Prince Fortinbras",0
"Captain, Polonius",0
"Francisco, Rosencrantz",0
"First Clown, Queen Gertrude",0
"Ghost, Guildenstern",0
"Bernardo, Gentlemen",0
"Reynaldo, Rosencrantz",0
"First Player, Horatio",0
"Horatio, Rosencrantz",0
"Gentlemen, Osric",0
"Marcellus, Queen Gertrude",0
"First Clown, Lords",0
"A Lord, King Fortinbras",0
"Polonius, Reynaldo",0
"First Sailor, Marcellus",0
"Hamlet, King Fortinbras",0
"Cornelius, Osric",0
"First Ambassador, Player King",0
"Lords, Priest",0
"Attendants, Player Queen",0
"Lords, Second Clown",0
"Bernardo, Polonius",0
"Captain, Priest",0
"Cornelius, Fortinbras",0
"Horatio, Marcellus",0
"First Player, Player Queen",0
"Laertes, Prince Fortinbras",0
"Fortinbras, Hamlet",0
"Osric, Players",0
"Laertes, Queen Gertrude",0
"Ghost, Voltimand",0
"Captain, Osric",0
"Gentlemen, Messenger",0
"Laertes, Lords",0
"Cornelius, Messenger",0
"Gentlemen, Reynaldo",0
"Bernardo, Priest",0
"Cornelius, Reynaldo",0
"Bernardo, Second Clown",0
"Captain, Fortinbras",0
"Bernardo, Ophelia",0
"Attendants, Captain",0
"A Lord, King Claudius",0
"Hamlet, King Claudius",0
"Players, Queen Gertrude",0
"Queen Gertrude, Servant",0
"Attendants, Marcellus",0
"Cornelius, First Clown",0
"Priest, Voltimand",0
"Francisco, King Fortinbras",0
"Guildenstern, Polonius",0
"Captain, Reynaldo",0
"First Player, Marcellus",0
"Fortinbras, Rosencrantz",0
"Ambassadors from Norway, Gentlemen",0
"Cornelius, Lucianus",0
"Osric, Prince Fortinbras",0
"Osric, Queen Gertrude",0
"Attendants, Players",0
"First Sailor, Queen Gertrude",0
"Guildenstern, Priest",0
"First Clown, Gentlemen",0
"A Lord, Attendants",0
"A Lord, First Player",0
"Guildenstern, Osric",0
"Horatio, Queen Gertrude",0
"Lords, Voltimand",0
"Ghost, Hamlet",0
"King Claudius, Osric",0
"Captain, Lucianus",0
"Francisco, King Claudius",0
"Gentlemen, Laertes",0
"Cornelius, Laertes",0
"Captain, Ghost",0
"Ambassadors from Norway, Second Clown",0
"Ambassadors from Norway, Ophelia",0
"Messenger, Ophelia",0
"Prince Fortinbras, Reynaldo",0
"Bernardo, Voltimand",0
"First Clown, Second Clown",0
"Attendants, Prince Fortinbras",0
"First Clown, Ophelia",0
"King Claudius, Messenger",0
"Attendants, Queen Gertrude",0
"First Ambassador, Osric",0
"Laertes, Polonius",0
"Fortinbras, Francisco",0
"King Claudius, Reynaldo",0
"Captain, Laertes",0
"Marcellus, Ophelia",0
"First Player, Queen Gertrude",0
"First Ambassador, Fortinbras",0
"Cornelius, Horatio",0
"Laertes, Priest",0
"Laertes, Second Clown",0
"Laertes, Ophelia",0
"Rosencrantz, Servant",0
"First Ambassador, Messenger",0
"First Ambassador, Reynaldo",0
"Guildenstern, Lucianus",0
"First Sailor, Gentlemen",0
"Captain, Horatio",0
"Priest, Rosencrantz",0
"First Ambassador, First Clown",0
"Lords, Player Queen",0
"Guildenstern, Players",0
"Player Queen, Reynaldo",0
"King Fortinbras, Messenger",0
"Captain, Player Queen",0
"A Lord, Cornelius",0
"Ambassadors from Norway, Voltimand",0
"Messenger, Voltimand",0
"First Ambassador, Lucianus",0
